ids,location,artist,class
557,abdullah-suriosubroto_landscape-of-paddy-field.jpg,abdullah-suriosubroto,0
1264,abdullah-suriosubroto_mountain-view.jpg,abdullah-suriosubroto,0
2190,abdullah-suriosubroto_indonesian-landscape-2.jpg,abdullah-suriosubroto,0
3661,abdullah-suriosubroto_indonesian-landscape-7.jpg,abdullah-suriosubroto,0
5268,abdullah-suriosubroto_indonesian-landscape-6.jpg,abdullah-suriosubroto,0
6312,abdullah-suriosubroto_indonesian-landscape.jpg,abdullah-suriosubroto,0
7736,abdullah-suriosubroto_air-terjun.jpg,abdullah-suriosubroto,0
8257,abdullah-suriosubroto_waterfall.jpg,abdullah-suriosubroto,0
8604,abdullah-suriosubroto_the-river.jpg,abdullah-suriosubroto,0
9212,abdullah-suriosubroto_indonesian-landscape-5.jpg,abdullah-suriosubroto,0
9498,abdullah-suriosubroto_bamboo-forest.jpg,abdullah-suriosubroto,0
9507,abdullah-suriosubroto_menuju-danau.jpg,abdullah-suriosubroto,0
9524,abdullah-suriosubroto_paddy-field.jpg,abdullah-suriosubroto,0
11137,abdullah-suriosubroto_indonesian-landscape-1.jpg,abdullah-suriosubroto,0
12158,abdullah-suriosubroto_landscape-mountain.jpg,abdullah-suriosubroto,0
12290,abdullah-suriosubroto_indonesian-landscape-4.jpg,abdullah-suriosubroto,0
12563,abdullah-suriosubroto_suburnya-negeriku.jpg,abdullah-suriosubroto,0
13000,abdullah-suriosubroto_indonesian-landscape-3.jpg,abdullah-suriosubroto,0
1883,abraham-manievich_flowers.jpg,abraham-manievich,1
1950,abraham-manievich_still-life-with-fruits.jpg,abraham-manievich,1
4382,abraham-manievich_still-life-with-glass.jpg,abraham-manievich,1
6000,abraham-manievich_flowers-on-a-yellow-table.jpg,abraham-manievich,1
6481,abraham-manievich_still-life-with-green-vase-and-flowers.jpg,abraham-manievich,1
6670,abraham-manievich_flowers-vase-on-a-hamper.jpg,abraham-manievich,1
8690,abraham-manievich_still-life-1930.jpg,abraham-manievich,1
10042,abraham-manievich_house-workers-in-the-bronx.jpg,abraham-manievich,1
29,adam-baltatu_ia-i-outskirts-houses.jpg,adam-baltatu,2
40,adam-baltatu_sighi-oara.jpg,adam-baltatu,2
246,adam-baltatu_still-life-with-pipe-and-books.jpg,adam-baltatu,2
543,adam-baltatu_noon-at-br-ne-ti.jpg,adam-baltatu,2
698,adam-baltatu_pipkin-with-chrysanthemums.jpg,adam-baltatu,2
930,adam-baltatu_still-life-with-vegetables.jpg,adam-baltatu,2
977,adam-baltatu_street-in-hu-i.jpg,adam-baltatu,2
1572,adam-baltatu_after-bath.jpg,adam-baltatu,2
1746,adam-baltatu_houses-in-bretania.jpg,adam-baltatu,2
1824,adam-baltatu_houses-in-ha-i.jpg,adam-baltatu,2
2050,adam-baltatu_winter-landscape.jpg,adam-baltatu,2
2126,adam-baltatu_subret.jpg,adam-baltatu,2
2241,adam-baltatu_view-towards-san-giorgio-venice.jpg,adam-baltatu,2
2300,adam-baltatu_houses-in-hu-i.jpg,adam-baltatu,2
2836,adam-baltatu_dobrujan-landscape.jpg,adam-baltatu,2
2839,adam-baltatu_grange.jpg,adam-baltatu,2
3092,adam-baltatu_landscape-with-houses.jpg,adam-baltatu,2
3099,adam-baltatu_houses-in-hu-i-1.jpg,adam-baltatu,2
3295,adam-baltatu_the-lesson.jpg,adam-baltatu,2
3322,adam-baltatu_still-life-with-apples-and-pipkin.jpg,adam-baltatu,2
3359,adam-baltatu_birch-woods.jpg,adam-baltatu,2
3884,adam-baltatu_after-rain.jpg,adam-baltatu,2
4474,adam-baltatu_fruitage.jpg,adam-baltatu,2
4906,adam-baltatu_still-life-with-green-apples.jpg,adam-baltatu,2
5034,adam-baltatu_house-on-siret-valley.jpg,adam-baltatu,2
5379,adam-baltatu_fishing-preparations.jpg,adam-baltatu,2
5654,adam-baltatu_houses-at-the-edge-of-the-forest.jpg,adam-baltatu,2
5701,adam-baltatu_village-alley.jpg,adam-baltatu,2
