ids,location,artist,class
11953,james-tissot_girl-with-a-fan.jpg,james-tissot,116
5446,nicolae-tonitza_seine-at-courbevoie-1910.jpg,nicolae-tonitza,163
4095,nicolae-vermont_thinking-1928.jpg,nicolae-vermont,164
3366,claude-monet_the-beach-at-pourville.jpg,claude-monet,38
12884,winston-churchill_daybreak-at-cassis-1920(1).jpg,winston-churchill,227
3554,iosif-iser_burghezi-la-promenad-maria-filotti-i-nicolae-soreanu-1912.jpg,iosif-iser,105
8968,adolf-hitler_linz-landscape.jpg,adolf-hitler,3
2259,camille-pissarro_view-of-eragny-1895.jpg,camille-pissarro,32
9253,pierre-auguste-renoir_bouquet-in-a-theater-box.jpg,pierre-auguste-renoir,186
10938,mary-cassatt_jules-standing-by-his-mother.jpg,mary-cassatt,147
7848,pierre-auguste-renoir_leaving-the-bath-1890.jpg,pierre-auguste-renoir,186
11153,hoca-ali-riza_peyzaj(2).jpg,hoca-ali-riza,98
3190,pierre-auguste-renoir_claude-monet-reading-1872.jpg,pierre-auguste-renoir,186
2932,william-merritt-chase_dorothy.jpg,william-merritt-chase,226
12995,john-singer-sargent_woman-reading-in-a-cashmere-shawl-1909.jpg,john-singer-sargent,127
6481,abraham-manievich_still-life-with-green-vase-and-flowers.jpg,abraham-manievich,1
4629,pierre-auguste-renoir_head-of-a-young-girl-1878.jpg,pierre-auguste-renoir,186
1159,childe-hassam_east-headland-pool.jpg,childe-hassam,37
6193,eugene-boudin_unloading-the-newfoundland-fishing-boat-1873.jpg,eugene-boudin,57
4566,alfred-sisley_street-in-moret-sur-loing-1892.jpg,alfred-sisley,5
11089,claude-monet_the-estuary-of-the-siene.jpg,claude-monet,38
3414,childe-hassam_view-of-florence-from-san-miniato.jpg,childe-hassam,37
10065,eugene-boudin_the-beach-at-trouville.jpg,eugene-boudin,57
9765,armand-guillaumin_les-ruines-a-crozant-1897.jpg,armand-guillaumin,17
12577,joaquã­n-sorolla_the-waves.jpg,joaquã­n-sorolla,121
11340,claude-monet_branch-of-lemons-1.jpg,claude-monet,38
11752,pierre-auguste-renoir_roses-in-a-vase-1914.jpg,pierre-auguste-renoir,186
9808,claude-monet_the-jetty-at-le-havre-1868.jpg,claude-monet,38
4782,claude-monet_the-japanese-bridge-7-1924.jpg,claude-monet,38
4611,childe-hassam_south-ledges-appledore.jpg,childe-hassam,37
9114,paul-cezanne_still-life-with-apples.jpg,paul-cezanne,175
292,maurice-prendergast_the-race.jpg,maurice-prendergast,149
2610,octav-bancila_portretul-de-evreu.jpg,octav-bancila,168
992,camille-pissarro_the-seine-at-marly-1871.jpg,camille-pissarro,32
12653,eugene-boudin_saint-cenery-the-church-and-the-bridge.jpg,eugene-boudin,57
7454,maurice-prendergast_figures-on-the-beach.jpg,maurice-prendergast,149
8621,konstantin-korovin_still-life-with-blue-vase-1922.jpg,konstantin-korovin,134
