ids,location,artist,class
445,alfred-sisley_church-at-moret-after-the-rain-1894.jpg,alfred-sisley,1
898,edgar-degas_women-on-a-cafe-terrace-in-the-evening-1877.jpg,edgar-degas,12
168,alfred-sisley_the-plain-of-veneux-view-of-sablons-1884.jpg,alfred-sisley,1
257,claude-monet_water-lily-pond-2.jpg,claude-monet,9
756,auguste-rodin_portrait-of-a-man.jpg,auguste-rodin,5
712,childe-hassam_lady-in-flower-garden.jpg,childe-hassam,8
969,childe-hassam_bowl-of-goldfish.jpg,childe-hassam,8
3133,arkhip-kuindzhi_sunset-in-the-steppes-by-the-sea.jpg,arkhip-kuindzhi,3
394,claude-monet_water-lilies-5.jpg,claude-monet,9
526,camille-pissarro_the-avenue-sydenham-1871.jpg,camille-pissarro,7
560,camille-pissarro_after-the-rain-autumn-eragny-1901.jpg,camille-pissarro,7
1256,cornelis-vreedenburgh_fisherman-on-a-poldercanal.jpg,cornelis-vreedenburgh,11
9936,armand-guillaumin_quai-de-bercy-effets-de-neige-1874.jpg,armand-guillaumin,4
923,eugene-boudin_portrieux-boats-at-anchor-in-port-1873.jpg,eugene-boudin,14
849,eugene-boudin_rouen-view-from-the-queen-s-way-1895.jpg,eugene-boudin,14
7738,adam-baltatu_houses-in-bretania-1.jpg,adam-baltatu,0
2284,edouard-manet_study-for-bar-at-the-folies-bergere-1882.jpg,edouard-manet,13
334,camille-pissarro_pumpkin-merchant-1883.jpg,camille-pissarro,7
6389,constantin-artachino_margarets.jpg,constantin-artachino,10
529,alfred-sisley_the-tugboat-1883.jpg,alfred-sisley,1
6235,adam-baltatu_autumn-still-life.jpg,adam-baltatu,0
700,edgar-degas_woman-washing-her-feet.jpg,edgar-degas,12
54,edgar-degas_jockeys-before-the-start-with-flagpoll-1879.jpg,edgar-degas,12
1010,berthe-morisot_girl-with-shuttlecock-also-known-as-jeanne-bonnet.jpg,berthe-morisot,6
550,edouard-manet_woman-before-a-mirror-1877.jpg,edouard-manet,13
828,edgar-degas_self-portrait.jpg,edgar-degas,12
11905,constantin-artachino_white-headscarf.jpg,constantin-artachino,10
165,eugene-boudin_brussels-the-louvain-canal.jpg,eugene-boudin,14
10681,cornelis-vreedenburgh_a-peasant-in-a-moored-barge-1907.jpg,cornelis-vreedenburgh,11
979,eugene-boudin_berck-the-departure-of-the-boats.jpg,eugene-boudin,14
1199,berthe-morisot_julie-writing.jpg,berthe-morisot,6
8503,cornelis-vreedenburgh_ships-on-a-puddle.jpg,cornelis-vreedenburgh,11
726,edouard-manet_the-road-menders-rue-de-berne-1878.jpg,edouard-manet,13
1008,armand-guillaumin_crozant-solitude-1915.jpg,armand-guillaumin,4
436,alfred-sisley_route-to-marly-le-roi-in-snow.jpg,alfred-sisley,1
2347,edouard-manet_young-woman-with-a-pink-shoe-portrait-of-berthe-morisot-1868.jpg,edouard-manet,13
1824,adam-baltatu_houses-in-ha-i.jpg,adam-baltatu,0
413,camille-pissarro_the-cote-des-boeurs-at-l-hermitage-near-pontoise-1877.jpg,camille-pissarro,7
893,antoine-blanchard_porte-st-denis-10.jpg,antoine-blanchard,2
1581,berthe-morisot_woman-in-a-garden.jpg,berthe-morisot,6
1472,antoine-blanchard_theatre-du-vaudeville-2.jpg,antoine-blanchard,2
5706,adam-baltatu_br-ne-ti-landscape.jpg,adam-baltatu,0
8252,cornelis-vreedenburgh_sluice-of-woerdense-verlaat.jpg,cornelis-vreedenburgh,11
1054,auguste-rodin_romeo-and-juliet-1905.jpg,auguste-rodin,5
3745,auguste-rodin_untitled-1905.jpg,auguste-rodin,5
911,antoine-blanchard_bouquinistes-de-notre-dame.jpg,antoine-blanchard,2
632,childe-hassam_under-the-lilacs.jpg,childe-hassam,8
447,childe-hassam_rainy-day-boston.jpg,childe-hassam,8
463,antoine-blanchard_place-de-la-bastiile.jpg,antoine-blanchard,2
651,alfred-sisley_barges-on-the-loing-canal-spring-1896.jpg,alfred-sisley,1
1687,antoine-blanchard_place-de-la-concorde-1.jpg,antoine-blanchard,2
132,constantin-artachino_scene-from-dobruja.jpg,constantin-artachino,10
6019,adam-baltatu_red-roofs.jpg,adam-baltatu,0
1191,berthe-morisot_julie-manet-and-her-nurse.jpg,berthe-morisot,6
9663,cornelis-vreedenburgh_view-on-the-amstel.jpg,cornelis-vreedenburgh,11
258,auguste-rodin_the-prodigal-son-1889.jpg,auguste-rodin,5
1467,arkhip-kuindzhi_noon-herd-in-the-steppe.jpg,arkhip-kuindzhi,3
772,childe-hassam_hassam-street-in-portsmouth.jpg,childe-hassam,8
203,claude-monet_the-bay-of-antibes.jpg,claude-monet,9
