ids,location,artist,class
0,claude-monet_adolphe-monet-reading-in-the-garden(1).jpg,claude-monet,0
1,edgar-degas_a-visit-to-the-museum.jpg,edgar-degas,1
2,claude-monet_a-woman-reading(1).jpg,claude-monet,0
3,paul-cezanne_apples-1878.jpg,paul-cezanne,2
4,paul-gauguin_clearing-1873.jpg,paul-gauguin,3
5,paul-gauguin_clay-jug-and-irin-mug-1880.jpg,paul-gauguin,3
6,paul-cezanne_a-modern-olympia-1874.jpg,paul-cezanne,2
7,paul-gauguin_abandoned-garden-in-rouen.jpg,paul-gauguin,3
8,paul-gauguin_a-henhouse-1884.jpg,paul-gauguin,3
9,paul-cezanne_afternoon-in-naples.jpg,paul-cezanne,2
10,edgar-degas_after-the-bath-woman-drying-her-feet-1886.jpg,edgar-degas,1
11,pierre-auguste-renoir_a-girl.jpg,pierre-auguste-renoir,4
12,edgar-degas_a-ballet-seen-from-the-opera-box-1885.jpg,edgar-degas,1
13,pierre-auguste-renoir_a-bouquet-of-roses-1879.jpg,pierre-auguste-renoir,4
14,edgar-degas_a-carriage-at-the-races-1872.jpg,edgar-degas,1
15,paul-cezanne_a-painter-at-work-1875.jpg,paul-cezanne,2
16,pierre-auguste-renoir_a-church-at-cagnes.jpg,pierre-auguste-renoir,4
17,claude-monet_agapanthus-1917(1).jpg,claude-monet,0
18,claude-monet_a-windmill-near-zaandam(1).jpg,claude-monet,0
19,claude-monet_a-corner-of-the-garden-at-montgeron-1877(1).jpg,claude-monet,0
20,pierre-auguste-renoir_a-fence-in-the-forest-1878.jpg,pierre-auguste-renoir,4
21,edgar-degas_a-grecian-dance-1890.jpg,edgar-degas,1
22,paul-cezanne_auvers-view-from-nearby.jpg,paul-cezanne,2
23,paul-gauguin_aline-gauguin-and-one-of-her-brothers.jpg,paul-gauguin,3
24,pierre-auguste-renoir_a-box-in-the-theater-des-varietes-1898.jpg,pierre-auguste-renoir,4
