ids,location,artist,class
0,konstantin-korovin_an-artist-s-studio-1894.jpg,konstantin-korovin,48
1,joaqua？n-sorolla_fountain-of-neptune-la-granja-1907.jpg,joaqua？n-sorolla,35
2,john-henry-twachtman_niagara-falls-3.jpg,john-henry-twachtman,37
3,claude-monet_fishing-boats-by-the-beach-and-the-cliffs-of-pourville.jpg,claude-monet,23
4,lovis-corinth_portrait-of-the-painter-fritz-rumpf-1901.jpg,lovis-corinth,52
5,claude-monet_white-clematis-1887.jpg,claude-monet,23
6,antoine-blanchard_caf-de-la-paix-opera.jpg,antoine-blanchard,11
7,claude-monet_park-monceau.jpg,claude-monet,23
8,claude-monet_winter-landscape-at-the-val-de-falaise.jpg,claude-monet,23
9,john-henry-twachtman_french-river-scene.jpg,john-henry-twachtman,37
10,jan-toorop_the-sea-at-katwijk-1887.jpg,jan-toorop,31
11,john-singer-sargent_villa-torlonia-fountain-1907-1.jpg,john-singer-sargent,41
12,abdullah-suriosubroto_indonesian-landscape-5.jpg,abdullah-suriosubroto,0
13,john-henry-twachtman_in-the-garden.jpg,john-henry-twachtman,37
14,konstantin-korovin_flowers-1916.jpg,konstantin-korovin,48
15,john-atkinson-grimshaw_il-penseroso.jpg,john-atkinson-grimshaw,36
16,joaqua？n-sorolla_virgin-mary-1887.jpg,joaqua？n-sorolla,35
17,joaqua？n-sorolla_marian-in-the-gardens-la-granja-1907.jpg,joaqua？n-sorolla,35
18,james-tissot_on-the-thames.jpg,james-tissot,30
19,joaqua？n-sorolla_valencia-couples-on-horseback-1916.jpg,joaqua？n-sorolla,35
20,john-henry-twachtman_snowbound-1900.jpg,john-henry-twachtman,37
21,john-henry-twachtman_new-york-harbor-1.jpg,john-henry-twachtman,37
22,julian-alden-weir_in-the-livingroom.jpg,julian-alden-weir,43
23,julian-alden-weir_silver-chalice-with-roses-1882.jpg,julian-alden-weir,43
24,claude-monet_the-house-among-the-roses-2.jpg,claude-monet,23
25,john-singer-sargent_the-pink-dress-1912.jpg,john-singer-sargent,41
26,anders-zorn_hamburg-harbour-1891.jpg,anders-zorn,8
27,claude-monet_lilac-irises-1917.jpg,claude-monet,23
28,john-singer-sargent_santa-maria-della-salute-1913.jpg,john-singer-sargent,41
29,john-singer-sargent_the-old-chair.jpg,john-singer-sargent,41
30,marie-bracquemond_the-lady-in-white.jpg,marie-bracquemond,56
31,john-henry-twachtman_winter-scene-1.jpg,john-henry-twachtman,37
32,claude-monet_morning-on-the-seine-near-giverny-the-fog.jpg,claude-monet,23
33,john-henry-twachtman_the-little-bridge.jpg,john-henry-twachtman,37
34,abraham-manievich_flowers-vase-on-a-hamper.jpg,abraham-manievich,1
35,john-singer-sargent_a-boating-party.jpg,john-singer-sargent,41
36,camille-pissarro_mother-presle-montfoucault-1874.jpg,camille-pissarro,22
37,antoine-blanchard_theatre-du-gymnase-boulevard-bonne-nouvelle-1.jpg,antoine-blanchard,11
38,mary-cassatt_contemplation-1891.jpg,mary-cassatt,58
39,julian-alden-weir_ravine-near-branchville-1915.jpg,julian-alden-weir,43
40,marie-bracquemond_three-ladies-with-parasol-aka-three-graces-1880.jpg,marie-bracquemond,56
41,antoine-blanchard_flower-market-madeleine-2.jpg,antoine-blanchard,11
42,joaqua？n-sorolla_female-nude-1916.jpg,joaqua？n-sorolla,35
43,john-singer-sargent_a-man-seated-by-a-stream.jpg,john-singer-sargent,41
44,john-henry-twachtman_branchville.jpg,john-henry-twachtman,37
45,john-henry-twachtman_springtime.jpg,john-henry-twachtman,37
46,joaqua？n-sorolla_two-men-on-a-deck.jpg,joaqua？n-sorolla,35
47,john-henry-twachtman_venetian-sailing-vessel.jpg,john-henry-twachtman,37
48,abraham-manievich_flowers.jpg,abraham-manievich,1
49,joaqua？n-sorolla_running-along-the-beach-1908.jpg,joaqua？n-sorolla,35
50,antoine-blanchard_place-de-la-republic-6.jpg,antoine-blanchard,11
51,john-singer-sargent_olive-trees-corfu-1909.jpg,john-singer-sargent,41
52,john-singer-sargent_perseus-florence.jpg,john-singer-sargent,41
53,julian-alden-weir_nassau-bahamas-1913.jpg,julian-alden-weir,43
54,joaqua？n-sorolla_andalusia-the-round-up-1914.jpg,joaqua？n-sorolla,35
55,claude-monet_palazzo-da-mulla.jpg,claude-monet,23
56,antoine-blanchard_porte-st-martin-3.jpg,antoine-blanchard,11
57,mary-cassatt_child-with-bangs-in-a-blue-dress.jpg,mary-cassatt,58
58,joaqua？n-sorolla_looking-for-crabs-among-the-rocks-javea-1905.jpg,joaqua？n-sorolla,35
59,adolf-hitler_smoking-tank-1916.jpg,adolf-hitler,3
60,claude-monet_morning-on-the-seine-near-vetheuil.jpg,claude-monet,23
61,joaqua？n-sorolla_swimmers-javea-1905.jpg,joaqua？n-sorolla,35
62,adolf-hitler_the-basler-gate.jpg,adolf-hitler,3
63,adam-baltatu_mangalia-houses.jpg,adam-baltatu,2
64,claude-monet_fisherman-s-house-at-varengeville.jpg,claude-monet,23
65,john-singer-sargent_boboli-1907.jpg,john-singer-sargent,41
66,joaqua？n-sorolla_boy-in-sea-foam-1900.jpg,joaqua？n-sorolla,35
67,joaqua？n-sorolla_on-the-beach-at-valencia-1916.jpg,joaqua？n-sorolla,35
68,james-mcneill-whistler_pink-note-shelling-peas.jpg,james-mcneill-whistler,29
69,john-henry-twachtman_summer-late.jpg,john-henry-twachtman,37
70,adolf-hitler_country-road.jpg,adolf-hitler,3
71,arkhip-kuindzhi_autumn-steppe-1875.jpg,arkhip-kuindzhi,15
72,lovis-corinth_the-walchensee-with-a-larch-tree-1921.jpg,lovis-corinth,52
73,claude-monet_windmills-in-holland.jpg,claude-monet,23
74,john-singer-sargent_the-sphinx.jpg,john-singer-sargent,41
75,claude-monet_the-japanese-bridge-7-1924.jpg,claude-monet,23
76,camille-pissarro_le-boulevard-de-clichy-1880.jpg,camille-pissarro,22
77,claude-monet_parliament-reflections-on-the-thames-1905.jpg,claude-monet,23
78,karoly-ferenczy_feeding-the-chickens-1895.jpg,karoly-ferenczy,45
79,claude-monet_etretat-the-needle-rock-and-porte-d-aval.jpg,claude-monet,23
80,claude-monet_madame-monet-on-the-divan.jpg,claude-monet,23
81,john-henry-twachtman_little-giant.jpg,john-henry-twachtman,37
82,lucian-grigorescu_peisaj-din-mogo-oaia.jpg,lucian-grigorescu,54
83,john-henry-twachtman_trees-across-the-river.jpg,john-henry-twachtman,37
84,james-mcneill-whistler_rose-and-brown-la-cigale.jpg,james-mcneill-whistler,29
85,john-henry-twachtman_waterfall-yellowstone.jpg,john-henry-twachtman,37
86,claude-monet_water-lilies-1917-3.jpg,claude-monet,23
87,claude-monet_the-old-rue-de-la-chaussee-argenteuil.jpg,claude-monet,23
88,john-singer-sargent_a-waterfall-1910.jpg,john-singer-sargent,41
89,claude-monet_the-bodmer-oak-fontainebleau.jpg,claude-monet,23
90,alfred-sisley_approach-to-the-railway-station-1888.jpg,alfred-sisley,5
